date,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2026-03-18,-2.4,53,13.5,72,0.0,15.85,-7.6,-10.9
2026-03-19,2.1,74,13.0,88,0.4,9.05,-2.2,-2.1
2026-03-20,1.1,91,9.3,100,10.3,1.28,-2.4,-0.3
2026-03-21,2.9,84,6.7,98,0.0,13.28,-0.1,0.3
2026-03-22,2.5,93,13.4,100,21.7,3.19,-1.3,1.4
2026-03-23,-1.7,86,19.2,84,3.3,14.94,-7.1,-3.8
2026-03-24,-3.4,80,7.4,48,0.0,21.03,-7.2,-6.5
2026-03-25,0.8,82,9.6,57,0.0,19.79,-2.8,-2.0
2026-03-26,8.3,80,30.0,100,0.9,4.46,2.7,4.9
2026-03-27,-4.1,64,20.3,74,1.2,17.81,-10.2,-10.2
2026-03-28,-2.8,62,18.1,49,0.3,17.32,-8.5,-9.3
2026-03-29,-1.9,55,22.1,41,0.0,21.6,-8.1,-10.1
2026-03-30,-1.8,57,12.4,15,0.0,22.05,-6.5,-9.3
2026-03-31,3.9,74,14.6,95,1.5,14.0,-0.2,-0.6
2026-04-01,7.7,77,17.8,73,1.2,19.14,3.7,3.6
2026-04-02,5.4,75,16.4,99,0.0,8.68,1.1,1.2
