Date,Day of the week,Total Residential Consumption,Total CI Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2023-01-01,1,4314832.5,788666,3.4,86,11.1,100,0.2,2.54,-0.1,1.3
2023-01-02,2,4211138.6,847165.1,3.5,86,7.4,91,0,6.95,0.5,1.3
2023-01-03,3,4258496.2,957648.3,2.2,97,15.2,100,3.6,1.31,-1.8,1.8
2023-01-04,4,4274571.7,976359.5,2.8,97,14.6,100,18.5,1.13,-1.1,2.4
2023-01-05,5,4150647.4,960744.7,3.1,84,12.3,98,0.3,3.2,-0.7,0.5
2023-01-06,6,4215464.9,961106.9,1.4,84,13.2,88,0.3,3.84,-2.8,-1
2023-01-07,7,4494438.8,897437.9,0.1,78,8.6,70,0,4.17,-3.8,-3.6
2023-01-08,1,4806136.9,893720.2,-3.5,74,7.5,77,0,5.04,-7.7,-7.5
2023-01-09,2,4344386.7,980907.9,-0.5,75,16.3,64,0,7.72,-5.6,-4.5
2023-01-10,3,4275733.3,994923.2,-0.2,81,9.4,100,0,2.97,-4.1,-3
2023-01-11,4,4347981.2,1008102.6,-1,88,14.7,89,0.1,3.7,-5.7,-2.8
2023-01-12,5,4207142.3,992057,1.6,96,9.3,100,9.9,1.12,-1.7,1.1
2023-01-13,6,4426912.2,1011000.2,-2.1,75,15.7,99,5,2.29,-7.3,-6
2023-01-14,7,4814465.9,960360.6,-7.2,75,8,28,0,8.82,-11.7,-10.9
2023-01-15,1,4934710.7,921833.7,-5.9,74,5.3,28,0,9.08,-10,-10.2
2023-01-16,2,4388760.8,999415.6,-2.6,88,8.9,83,0,7.92,-6.6,-4.3
2023-01-17,3,4225444.1,994280,3,91,9.2,97,2.5,2.09,-0.2,1.7
2023-01-18,4,4126956.4,979792.2,3.2,86,14.9,100,0.1,2.66,-0.9,1.1
2023-01-19,5,4231312.8,998615.9,1.2,98,14,100,6.9,1.03,-2.9,0.8
2023-01-20,6,4179722.4,981426.3,1.3,81,14,99,2.9,5.21,-3.1,-1.7
2023-01-21,7,4588024.2,922469.1,-0.5,72,10.6,100,0,3.77,-4.8,-5
2023-01-22,1,4686238,883561.4,-0.4,87,7.4,98,3,2.03,-3.9,-2.4
2023-01-23,2,4297516.8,983088.5,-0.5,77,14.6,92,0,5.34,-5.3,-4.2
2023-01-24,3,4314721.4,1008626.9,-0.6,70,17.9,90,0.2,5.57,-6,-5.5
2023-01-25,4,4478236.5,995317.5,-0.6,91,13.6,100,19.6,1.6,-5,-2
2023-01-26,5,4401660.6,1013819.6,-1.2,81,15.8,94,1.6,8.51,-6.2,-4.2
2023-01-27,6,4435809.9,1020815.2,-1.9,82,20.5,97,1.2,6.1,-7.6,-4.6
2023-01-28,7,4572473.6,935447.8,-0.5,75,16.6,97,1,8.05,-5.7,-4.5
2023-01-29,1,4736255.4,900879.6,-1.1,88,11.4,75,6.1,2.56,-5.3,-2.8
2023-01-30,2,4500902.5,1022202.7,-6.4,81,9.8,84,0.6,5.2,-11,-9.1
2023-01-31,3,4599388.7,1057078.2,-9.3,74,10.8,56,0,10.52,-14.3,-13.3
2023-02-01,4,4753291.2,1086283.5,-9.6,74,18.1,40,0,10.58,-15.7,-13.4
