date,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2026-03-18,-4.3,69,10.8,69,0.0,15.72,-9.0,-9.4
2026-03-19,0.7,84,7.4,98,0.73,8.92,-2.8,-1.8
2026-03-20,0.2,93,9.0,97,11.9,2.64,-3.4,-0.8
2026-03-21,1.4,87,5.9,99,0.0,11.67,-1.7,-0.6
2026-03-22,1.2,95,8.2,100,26.5,1.29,-2.0,0.5
2026-03-23,-2.8,88,15.5,84,2.3,18.84,-7.6,-4.5
2026-03-24,-5.1,90,7.7,41,0.0,21.05,-8.9,-6.6
2026-03-25,-1.5,91,7.2,63,0.0,19.86,-4.8,-2.8
2026-03-26,6.3,87,20.8,100,2.4,4.03,2.0,4.3
2026-03-27,-5.9,66,19.0,79,1.2,19.38,-11.8,-11.5
2026-03-28,-4.5,70,12.6,73,0.6,17.03,-9.3,-9.5
2026-03-29,-3.3,62,19.5,26,0.0,21.9,-9.2,-9.9
2026-03-30,-3.2,56,9.9,11,0.0,22.2,-7.6,-10.9
2026-03-31,2.5,74,12.3,82,1.2,16.14,-1.5,-1.9
2026-04-01,7.7,75,13.6,79,1.2,18.18,4.2,3.0
2026-04-02,4.6,78,16.8,99,0.0,7.06,0.2,0.9
