Date,Day of the week,Total Residential Consumption,Total CI Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m?),apparent_temperature_mean (ÁC),dew_point_2m_mean (ÁC)
2023-01-01,1,13818579.8,3545513.2,2.3,91,10.3,100,1.8,2.19,-1.1,1.1
2023-01-02,2,13682477.7,3886800.3,2.6,88,7.6,89,0,7.04,-0.5,0.7
2023-01-03,3,13757678.4,4404448.5,2.3,91,14,100,3.7,1.77,-1.8,0.9
2023-01-04,4,13952352.4,4716701.4,2.6,94,17,98,27,1.15,-1.7,1.8
2023-01-05,5,13679737.4,4805627.4,2.7,89,10.7,100,1.1,2.1,-0.8,1.1
2023-01-06,6,13699245.2,4785698.3,1.9,83,11.7,94,0.2,3.74,-2.1,-0.8
2023-01-07,7,14553644.2,4510075.9,-0.5,75,12.8,61,0.2,6.28,-5.1,-4.5
2023-01-08,1,15899180.3,4401830.7,-4.1,73,6.9,58,0,6.1,-8.2,-8.2
2023-01-09,2,14743860,4948268.8,-1.1,76,16.1,72,0,5.25,-6.2,-4.9
2023-01-10,3,14362498.6,5004564.9,-0.6,75,10,97,0,4.63,-4.8,-4.6
2023-01-11,4,14978934.6,5169883.5,-1.9,83,22.6,95,0.2,2.57,-7.9,-4.4
2023-01-12,5,14203978.5,5029600.3,1.6,94,12.4,100,10.4,1.36,-2.2,0.7
2023-01-13,6,15242598.4,5201078.1,-2.8,77,24.6,96,4.6,1.8,-9.3,-6.3
2023-01-14,7,16398052.8,4944044.9,-9.2,70,14.9,24,0,8.83,-14.9,-13.7
2023-01-15,1,16461205.8,4587350.4,-7.3,73,6.8,29,0,8.31,-11.6,-11.3
2023-01-16,2,14905914.9,5049437.2,-2.4,81,10,81,0,8.06,-6.7,-5.3
2023-01-17,3,14347278.7,5045476.6,1.6,91,10.6,100,2.9,1.74,-2.1,0.2
2023-01-18,4,13709169.4,4960541.9,2.7,88,14,99,0.2,3.28,-1.3,0.9
2023-01-19,5,14319887.5,5100541,0.9,91,24,100,5.4,0.9,-4.8,-0.4
2023-01-20,6,14195958.5,5076327,0.9,82,13.4,100,0,3.6,-3.4,-1.9
2023-01-21,7,15317997.7,4724418.6,-0.6,72,8.8,98,0,3.61,-4.7,-5
2023-01-22,1,15512446.6,4436070.9,-0.3,81,8.7,100,3.1,2.01,-4.1,-3.2
2023-01-23,2,14450165.4,4991112.8,-0.7,79,14.4,80,0,5.41,-5.5,-4.1
2023-01-24,3,14372373.2,5112110.3,0,66,19.5,88,0.1,5.22,-5.7,-5.8
2023-01-25,4,14994387.5,5080647,-0.3,89,19.9,100,16.2,1.61,-5.6,-1.9
2023-01-26,5,14730521.6,5180942.8,-1.7,83,16.9,98,4.5,7.92,-6.9,-4.3
2023-01-27,6,14678584.1,5230868.1,-2.3,82,18.1,92,0.8,7.75,-7.7,-5
2023-01-28,7,15152701.6,4892161.2,-0.5,74,17.4,98,1.3,7.04,-5.7,-4.6
2023-01-29,1,15914575.2,4645223.3,-2.3,88,12.4,77,5.5,3.05,-6.7,-3.9
2023-01-30,2,15365046.8,5330873.7,-7.8,79,9.1,75,0.3,5.24,-12.4,-10.8
2023-01-31,3,15402834.6,5465696.1,-9.3,71,9.5,57,0,10.83,-14.2,-13.7
2023-02-01,4,15905407.3,5458512.8,-10.2,74,16.8,43,0,9.67,-16.2,-14
2023-02-02,5,15481103.7,5386946.3,-5.1,71,23,67,0.5,9.84,-11.6,-9.6
2023-02-03,6,17500832,5761792.3,-16.9,61,18.6,61,0.3,11.66,-23.5,-22.8
2023-02-04,7,18769503.9,5451456.8,-13,66,16.1,92,1.1,6.66,-19,-18.1
2023-02-05,1,16233146.5,4648600.3,1,74,16.8,99,0,6.57,-4.1,-3.3
2023-02-06,2,14570551.6,5114427.1,-1.7,78,11.4,40,0,11.59,-6.1,-5.2
2023-02-07,3,14138999.2,5089722.8,2,80,20,79,0.6,6.33,-3.2,-1.2
2023-02-08,4,13308115.9,4940101.1,2.5,78,13.9,59,0.1,11.55,-1.8,-1.2
2023-02-09,5,14059151.4,5070308.5,1.4,94,14.2,97,22.4,1.1,-2.6,0.5
2023-02-10,6,13995688.1,5060424.7,2.5,72,25.2,93,0.3,5.18,-3.6,-2.3
2023-02-11,7,15029285.1,4765968.8,-1.5,65,17.7,35,0,11.08,-7.1,-7.3
2023-02-12,1,14660270.6,4315091.3,0.4,72,8.3,0,0,12.41,-3.4,-4.1
2023-02-13,2,13458095.3,4804769.9,1.7,76,13.3,37,0,11.76,-2.7,-2.7
2023-02-14,3,12924160,4816991.1,1.8,75,11.7,25,0,12.77,-2.4,-2.4
2023-02-15,4,12650070.3,4754023.4,8.5,63,25.9,77,0.9,7.12,2.9,1.8
2023-02-16,5,13204926.7,4914186.6,1.8,76,10.9,86,0.9,7.25,-2.2,-2.1
2023-02-17,6,14618221.7,5175433.5,-4.2,69,22.1,57,7.3,12.65,-10.5,-9.4
2023-02-18,7,15364341.3,4806693.5,-2,57,18.8,45,0,12.92,-8,-10
2023-02-19,1,14125986.5,4299356.3,3.1,66,18.3,95,0,8.83,-2,-2.8
2023-02-20,2,13818828.6,4069226.3,2.4,63,13.1,94,0,11.51,-2.1,-4.2
2023-02-21,3,13864995.2,4975797.8,0.7,67,18.4,72,1.6,12.07,-4.8,-5.2
2023-02-22,4,14907973.5,5206643.3,-3.4,73,20.3,100,13.2,2.41,-9.4,-7.5
2023-02-23,5,15667131.2,5299151.8,-5.8,85,16.4,100,10.9,4.6,-11.3,-7.9
2023-02-24,6,15198116.8,5363486.3,-9.1,71,13.8,57,0,15.79,-14.5,-13.6
2023-02-25,7,16189159.3,4996778,-9.5,79,7.2,92,1.2,9.78,-13.9,-12.5
2023-02-26,1,15448564,4496690.7,-1.9,75,16.5,49,0,15.04,-7.2,-6
2023-02-27,2,15223309.1,5151459.1,-5.5,81,22.5,75,9,9.46,-11.9,-8.3
2023-02-28,3,14472041.6,5127666.3,0.5,83,20.4,78,4.6,11.54,-4.9,-2.1
2023-03-01,4,14175733.7,5106420.4,-1.7,85,14.8,81,0.1,9.14,-6.5,-4
2023-03-02,5,13677361.2,5040237.4,-1.7,81,12.2,51,0,12.84,-6.2,-4.5
2023-03-03,6,14652838.2,5121716.6,-2,86,23.9,88,15.1,7.07,-8.1,-3.9
2023-03-04,7,14810253.4,4518364.9,1.3,80,21.6,75,14.7,15.45,-4.2,-2
2023-03-05,1,14497990,4299371,1.3,81,9.8,67,1.1,14.73,-2.5,-1.8
2023-03-06,2,13890201.7,4902265.1,-1.7,81,8.4,91,0.2,10.11,-5.7,-4.6
2023-03-07,3,13826375.1,5015996,-1.9,63,25,36,0.3,18.18,-8.5,-8
2023-03-08,4,13795208.3,5040601.3,-2,67,18.5,21,0,17.45,-7.6,-7.4
2023-03-09,5,13546500.8,4998826,-2.2,75,12.3,36,0,17.4,-6.7,-6
2023-03-10,6,14517878.2,5117155.8,-2,84,19.3,100,7.6,4.97,-7.5,-4.3
2023-03-11,7,14940218.7,4743424.3,-2.4,76,13.4,86,0.6,13.61,-7.2,-6.2
2023-03-12,1,15399900,4487670.6,-4.5,82,9.6,88,1.5,7.99,-8.8,-7.1
