date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-03-18,3879347.4617660055,681034.0792799958,-4.4,13.2
2026-03-19,3691998.78329812,652211.9695384786,0.5,9.7
2026-03-20,3679034.5230685063,656743.4134431027,-0.0,9.4
2026-03-21,3676818.2651935713,644330.4098107682,1.5,7.7
2026-03-22,4181733.15057987,593681.6885254758,1.3,11.8
2026-03-23,4505462.421932777,584310.0319098404,-3.8,22.0
2026-03-24,4077039.1556761637,676461.7080904887,-6.6,9.5
2026-03-25,3776499.020519224,663422.5888083926,-1.8,9.6
2026-03-26,3397848.719658561,617445.4483871775,6.4,30.9
2026-03-27,3930157.392842857,703316.7766880098,-6.7,25.4
2026-03-28,3913867.2439447055,686013.1829846236,-4.6,18.2
2026-03-29,4373361.231838145,630108.1909952105,-3.9,25.8
2026-03-30,4518908.844164649,581128.2363887203,-3.6,11.4
2026-03-31,3667827.1103929477,617002.4462502006,2.7,16.6
2026-04-01,3377428.1810828005,607158.8245802184,7.1,20.0
2026-04-02,3516419.418631157,631680.4560318985,4.0,22.8
