date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-03-18,4641662.918057837,1052159.9933882556,-2.4,13.5
2026-03-19,4304106.799010431,989421.0334897294,2.1,13.0
2026-03-20,4345268.807237795,1002905.5626749569,1.1,9.3
2026-03-21,4192399.230776212,963093.5683998109,2.9,6.7
2026-03-22,4572541.712820098,905632.8462603911,2.5,13.4
2026-03-23,5012600.132187432,932298.4699414711,-1.7,19.2
2026-03-24,4720645.99956577,1024918.1935738154,-3.4,7.4
2026-03-25,4366679.232256183,1001828.0476867959,0.8,9.6
2026-03-26,4007541.5807595598,945458.7144763616,8.3,30.0
2026-03-27,4836967.612789279,1094863.629577084,-4.1,20.3
2026-03-28,4725050.181483339,1062459.3664999653,-2.8,18.1
2026-03-29,4982748.930676873,982118.1748750915,-1.9,22.1
2026-03-30,4954609.290455718,918775.1159463711,-1.8,12.4
2026-03-31,4248181.2748788055,945204.8382949077,3.9,14.6
2026-04-01,3933517.3958040117,929523.9198313681,7.7,17.8
2026-04-02,4091923.6403156994,953702.9141841478,5.4,16.4
