date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-03-18,1912110.1007188943,783295.6305158933,-4.3,12.3
2026-03-19,1780307.7052550805,742504.421152371,0.6,11.1
2026-03-20,1727963.1307430677,730785.6531093242,2.7,13.6
2026-03-21,1719815.9949018587,713517.2761309547,3.0,10.0
2026-03-22,1758107.6363635664,610912.5318422386,6.2,14.6
2026-03-23,2048708.7354112598,657993.8838330631,-1.5,22.1
2026-03-24,1888976.5223706455,747694.9649047055,-2.4,11.3
2026-03-25,1736251.0603716762,725600.6115795798,2.3,12.5
2026-03-26,1666432.6942388753,707159.678624996,7.9,34.9
2026-03-27,2015836.446654336,826364.2301433452,-6.4,26.6
2026-03-28,1919857.854548773,780016.6521048181,-3.2,20.0
2026-03-29,2048570.9699871845,706872.918060129,-3.7,22.1
2026-03-30,2048159.914598349,657200.9087756742,-2.4,14.9
2026-03-31,1787903.2646404637,715538.4680235203,2.9,23.2
2026-04-01,1632258.9882061356,692213.8555445551,7.3,21.2
2026-04-02,1723559.7337917178,724732.5208062475,4.0,21.1
