date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-03-18,2931962.47180133,605060.8225792527,-4.4,9.5
2026-03-19,2738479.5456256396,575889.6528660553,0.7,8.0
2026-03-20,2733011.209725421,579823.5770589691,0.3,7.1
2026-03-21,2676536.518177155,558006.7921334765,2.2,5.8
2026-03-22,2897916.410964842,468051.46255427477,1.8,8.6
2026-03-23,3170277.344746758,461241.1763817868,-2.8,15.9
2026-03-24,2997156.929271254,586245.2374053583,-4.8,7.5
2026-03-25,2783691.627245687,583519.2357749551,-0.9,6.9
2026-03-26,2505351.974478308,547905.4399329489,7.3,23.4
2026-03-27,2992712.679682176,619863.6727891727,-5.4,19.3
2026-03-28,2934757.661973079,596571.1634333957,-3.7,13.8
2026-03-29,3102696.258827193,500131.2998772988,-2.6,19.9
2026-03-30,3141195.004516743,455478.6344318452,-2.4,10.3
2026-03-31,2674478.783836337,542493.2632784119,3.4,12.2
2026-04-01,2441704.6219234685,538272.3184631141,8.0,15.6
2026-04-02,2583770.565729103,556889.8530416985,5.0,16.8
