date,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2026-04-06,1.9,72,10.3,81,0.0,13.09,-2.1,-2.8
2026-04-07,-3.2,68,21.3,88,0.4,18.49,-9.1,-8.4
2026-04-08,-0.8,61,10.7,24,0.0,23.09,-5.1,-7.8
2026-04-09,8.0,74,22.9,85,0.2,12.65,3.3,3.5
2026-04-10,9.8,90,15.4,97,10.0,6.85,7.1,8.2
2026-04-11,5.5,71,8.2,8,0.0,24.69,2.6,0.3
2026-04-12,10.4,71,19.0,94,0.3,7.68,6.7,5.4
2026-04-13,15.6,86,30.0,100,3.0,6.82,12.3,13.3
2026-04-14,10.0,79,24.6,77,2.4,19.6,5.9,6.4
2026-04-15,0.7,64,21.0,99,1.8,9.46,-5.2,-5.8
2026-04-16,0.1,98,21.1,100,5.1,8.6,-5.1,-0.1
2026-04-17,2.1,99,11.5,100,0.0,3.6,-1.4,2.0
2026-04-18,6.1,92,6.5,95,0.0,9.58,3.9,4.7
2026-04-19,11.3,84,9.4,93,0.3,16.58,9.6,8.5
2026-04-20,9.8,92,11.7,100,0.3,7.12,7.7,8.6
2026-04-21,8.0,89,19.5,95,3.0,7.43,4.4,6.4
