date,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2026-04-01,5.5,78,14.5,97,0.1,5.55,1.7,2.0
2026-04-02,2.9,89,21.1,97,2.1,2.67,-2.1,1.2
2026-04-03,12.7,79,21.2,76,4.6,15.92,9.6,8.9
2026-04-04,5.0,83,18.5,100,3.4,8.28,0.6,2.2
2026-04-05,6.6,69,24.4,87,5.8,12.2,1.2,1.1
2026-04-06,3.7,57,17.9,79,0.0,20.67,-1.4,-4.3
2026-04-07,0.1,58,16.9,81,0.6,18.69,-5.4,-8.0
2026-04-08,1.3,44,11.4,29,0.0,24.0,-3.2,-10.0
2026-04-09,6.5,59,10.9,98,0.0,10.89,2.7,-0.9
2026-04-10,12.1,68,17.8,86,0.0,20.43,8.7,6.1
2026-04-11,9.1,82,17.8,99,6.9,0.77,5.5,6.0
2026-04-12,4.8,78,16.8,97,0.9,20.47,0.6,1.2
2026-04-13,8.5,92,14.4,100,5.7,1.05,5.8,7.3
2026-04-14,14.4,80,23.6,93,0.9,13.82,11.2,10.8
2026-04-15,4.9,55,20.3,61,0.3,24.41,-0.2,-3.9
2026-04-16,1.3,54,19.2,95,0.0,12.51,-4.5,-7.1
