date,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2026-04-01,3.3,85,15.3,98,0.8,6.02,-0.8,1.0
2026-04-02,3.9,92,19.3,100,0.45,4.49,-0.5,2.8
2026-04-03,13.4,80,25.0,95,1.8,15.21,10.0,10.0
2026-04-04,9.4,82,23.6,100,9.1,11.57,5.4,6.6
2026-04-05,4.8,73,29.2,92,1.1,9.33,-1.5,0.3
2026-04-06,1.7,76,18.4,52,0.6,16.02,-3.4,-2.3
2026-04-07,-1.2,63,19.9,54,0.0,21.74,-7.0,-8.1
2026-04-08,-0.6,46,13.8,39,0.0,23.49,-5.6,-11.0
2026-04-09,6.0,71,14.6,94,0.0,10.58,1.9,0.8
2026-04-10,13.7,71,23.6,74,0.0,22.35,9.9,8.0
2026-04-11,8.8,85,16.7,94,6.3,0.95,5.4,6.2
2026-04-12,7.1,78,17.0,99,0.0,17.31,3.2,3.4
2026-04-13,10.5,94,19.5,100,6.3,1.11,7.7,9.6
2026-04-14,14.2,84,25.1,96,1.8,13.69,10.9,11.3
2026-04-15,2.4,63,26.4,60,0.0,24.52,-3.8,-4.3
2026-04-16,1.0,54,18.2,86,0.0,14.12,-4.6,-7.2
