Date,Day of the week,Total Residential Consumption,Total CI Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
1/1/2023,1,1853151.6,582335.1,2.3,94,9.3,100,0.4,2.85,-0.9,1.5
1/2/2023,2,1779148.3,642579.2,3,91,6.2,94,0,6.97,0.2,1.5
1/3/2023,3,1768232,733349.9,3.1,94,13.3,100,5.1,1.33,-0.6,2.3
1/4/2023,4,1741891.1,737208.3,5.5,99,12.1,100,12.8,1.26,2.5,5.2
1/5/2023,5,1737541,742640.9,2.5,84,13.1,98,0.8,2.28,-1.5,0.1
1/6/2023,6,1779778.1,747368.8,1,87,11.3,100,0.9,2.8,-2.9,-1.1
1/7/2023,7,1916449.7,675864.1,-0.2,82,11.4,93,0.5,3.42,-4.4,-3
1/8/2023,1,2055466.4,660359.8,-2.5,75,5.7,99,0,4.53,-6.2,-6.4
1/9/2023,2,1827518.1,760090.1,-1.6,80,13.5,51,0,8.05,-6.3,-4.7
1/10/2023,3,1778229,761790.2,0.3,83,7.7,89,0,5.25,-3.3,-2.3
1/11/2023,4,1811075.5,773015,-0.3,82,14.3,84,0,4.31,-5,-3.1
1/12/2023,5,1777190.3,763806.2,2.8,94,12.3,100,5.5,1.94,-0.7,2
1/13/2023,6,1893130.6,790662.2,-2.5,75,20.8,95,1.6,3.14,-8.5,-6.5
1/14/2023,7,2044852.9,713872.7,-5.9,67,13.3,34,0,9.26,-11.2,-11.2
1/15/2023,1,2092454.5,678791.4,-4.7,64,7.3,44,0,9.01,-9.1,-11.6
1/16/2023,2,1856122.9,771455,-1.1,62,13.4,93,0,8.44,-6.2,-8.1
1/17/2023,3,1753785,759751.3,4.1,90,16.2,98,5.1,3.01,0.1,2.6
1/18/2023,4,1742527.3,760779.8,2.3,90,13.4,100,0.3,2.92,-1.7,0.7
1/19/2023,5,1776271.6,769790.2,2.3,95,15.5,92,8.6,1.9,-1.8,1.5
1/20/2023,6,1783672.2,763697,0.6,87,15.9,99,4.1,2.44,-4,-1.3
1/21/2023,7,1963397.5,694747.2,-0.8,74,10.9,93,0,4.77,-5.1,-4.8
1/22/2023,1,2025947.5,660280.1,-1,85,6.5,95,3.7,1.87,-4.5,-3.2
1/23/2023,2,1867024.9,774544.8,-1.8,82,13.4,90,0.3,3.63,-6.4,-4.6
1/24/2023,3,1815563,784606.7,-0.9,73,15.8,86,0.3,6.82,-6,-5.4
1/25/2023,4,1883910.5,783168.5,-0.5,91,15.3,100,17.2,2.02,-5.2,-1.8
1/26/2023,5,1836812.8,787691.5,-1.5,85,15,100,1.2,4.15,-6.3,-3.7
1/27/2023,6,1894244.5,797454.3,-2.7,86,20.7,99,3.5,6.29,-8.4,-4.8
1/28/2023,7,1969288.9,703780.3,-1.6,77,14.5,92,1.8,7.65,-6.5,-5.2
1/29/2023,1,2055740.1,673283.2,-2.3,88,11.7,82,2.9,3.94,-6.7,-4.1
1/30/2023,2,1931570.1,798740.8,-7.5,81,9.9,80,0.6,5.46,-12.2,-10.2
1/31/2023,3,1991013.4,832514,-11.1,76,8.9,78,0,9.32,-16,-14.6
2/1/2023,4,2027631,845054.8,-10.9,77,14.2,50,0,10.47,-16.5,-14.2
2/2/2023,5,1966977.6,831595.3,-6.2,72,19.6,62,0.9,10.56,-12.3,-10.4
2/3/2023,6,2141490.6,852692.1,-13.2,70,19.5,98,3.7,7.91,-19.7,-17.5
2/4/2023,7,2190952.5,763228.6,-9,70,16.5,91,0.5,9.12,-14.9,-13.5
2/5/2023,1,2061492.8,685227.4,1.6,73,18.6,100,0.1,7.17,-3.6,-2.8
2/6/2023,2,1863151.7,790992.7,-2.4,80,10.7,65,0,11.17,-6.7,-5.4
2/7/2023,3,1799422,788131.4,1.9,81,18.5,78,0.6,8.02,-3,-1.1
2/8/2023,4,1697854.2,769674.3,0.3,84,8.9,60,0,12.24,-3.4,-2.1
2/9/2023,5,1765127.9,774164.7,4.7,88,18.5,93,24.4,2.03,0.5,2.9
2/10/2023,6,1802945.2,780920.8,0.8,79,21.7,85,1,3.45,-4.8,-2.5
2/11/2023,7,1940134.1,700596.4,-1.9,68,14.6,28,0,12.76,-7,-7
2/12/2023,1,1929372.9,650965.7,0.5,71,8.5,0,0,12.92,-3.4,-4.4
2/13/2023,2,1725880.6,748940.7,1.9,71,14.5,20,0.1,12.74,-2.7,-3.1
2/14/2023,3,1669953.6,752537.9,2.3,72,11.9,42,0,13.03,-1.9,-2.7
2/15/2023,4,1609278.9,734372.5,9.2,62,26.6,64,2.2,8.07,3.7,2.3
2/16/2023,5,1702462.8,755508.8,2.2,77,10.8,85,1.1,6.23,-1.8,-1.5
2/17/2023,6,1856632.2,789488.6,-4.5,70,19.8,88,1.4,10.73,-10.5,-9.3
2/18/2023,7,1933829.7,700040.6,-1.4,59,18.6,39,0,13.72,-7.3,-8.9
2/19/2023,1,1809304.8,637188.1,4,62,19.4,92,0,12.02,-1.4,-2.9
2/20/2023,2,1782853.8,622962.4,2.2,68,11,95,0.1,12.68,-2,-3.4
2/21/2023,3,1726674.6,764128.4,0.4,64,19.3,69,0.2,12.88,-5.3,-6
2/22/2023,4,1848300.1,787243.4,-2.1,80,17.2,100,16.5,2.21,-7.4,-5.2
2/23/2023,5,1900444.8,790504.1,-1.6,85,16.6,99,2.2,3.18,-6.6,-3.7
2/24/2023,6,1869723,809341,-5.6,64,18.4,92,0.7,9.52,-11.7,-11.4
2/25/2023,7,2012608.7,721725.7,-4.7,69,10.1,78,2.2,6.48,-9.3,-9.6
2/26/2023,1,1942688.4,662912.5,-0.1,69,16.6,16,0,15.66,-5.3,-5.5
2/27/2023,2,1905276.5,784032.9,-2.2,79,19.4,88,13.7,5,-7.8,-5.4
2/28/2023,3,1799775,785482,0,81,14.8,88,0.8,11.8,-4.7,-3.1
3/1/2023,4,1722173.9,725659.4,0.3,83,10.3,60,0.4,13.63,-3.6,-2.4
3/2/2023,5,1702876.9,718768.1,-1.4,86,9.9,65,0,11.26,-5.4,-3.7
3/3/2023,6,1833069.3,727811.4,-0.9,87,18.9,100,21.8,5.64,-6.2,-2.9
3/4/2023,7,1878539.5,637635,1,84,16,80,6.2,14.12,-3.6,-1.6
3/5/2023,1,1926548.4,608664.2,0.9,85,11.2,56,0.5,12.89,-3,-1.4
3/6/2023,2,1816188.4,721836.3,-1.6,84,14.3,95,2.4,4.89,-6.3,-4
3/7/2023,3,1754088.7,731618.5,-1.9,68,18,21,0,18.37,-7.4,-7.2
3/8/2023,4,1758265.4,733542.5,-2.4,72,15.2,11,0,18.15,-7.4,-6.9
3/9/2023,5,1736242.6,727892.1,-2.9,76,8.3,63,0,17.85,-6.8,-6.6
3/10/2023,6,1830594.4,729978.7,-1.4,85,18.6,100,10.3,4.69,-6.7,-3.6
3/11/2023,7,1909648.1,653477.6,-3.7,80,11.2,78,0.1,12.63,-8.3,-6.7
