date,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2026-04-01,3.7,84,17.2,100,0.0,7.94,-0.7,1.2
2026-04-02,1.7,92,17.0,99,1.6,2.96,-2.8,0.5
2026-04-03,11.9,77,20.3,90,2.1,17.0,8.6,7.6
2026-04-04,4.6,78,14.4,100,4.1,6.22,0.6,1.0
2026-04-05,6.3,67,22.3,83,3.6,11.17,1.1,0.5
2026-04-06,3.2,54,16.0,84,0.0,20.0,-1.7,-5.7
2026-04-07,-0.6,53,15.4,72,0.9,19.76,-5.9,-9.6
2026-04-08,0.5,44,10.7,32,0.0,23.76,-4.1,-10.8
2026-04-09,5.6,61,7.7,98,0.0,9.31,2.2,-1.5
2026-04-10,12.7,66,16.0,90,0.0,19.85,9.6,6.0
2026-04-11,9.2,80,15.6,100,6.6,1.03,5.9,5.8
2026-04-12,5.9,68,12.5,98,0.3,21.5,2.1,-0.1
2026-04-13,8.3,90,10.8,100,5.4,0.89,6.0,6.7
2026-04-14,15.2,78,21.1,94,0.9,13.63,12.6,11.2
2026-04-15,4.0,54,20.0,61,0.0,24.53,-1.3,-5.0
2026-04-16,0.9,46,13.3,95,0.0,11.92,-4.3,-9.5
