date,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2026-04-04,2.8,86.0,15.8,71.0,5.63,10.25,-1.6,0.7
2026-04-05,7.0,84.0,19.8,99.0,28.18,10.1,2.8,4.4
2026-04-06,0.9,67.0,14.9,81.0,0.4,13.23,-4.0,-4.8
2026-04-07,-2.7,56.0,16.8,82.0,1.7,21.49,-8.2,-11.2
2026-04-08,0.4,50.0,13.5,54.0,0.0,21.17,-4.6,-9.1
2026-04-09,7.3,73.0,26.6,99.0,3.9,7.25,1.9,2.6
2026-04-10,1.3,56.0,13.2,54.0,0.0,24.04,-3.2,-7.0
2026-04-11,8.3,70.0,22.7,98.0,0.3,8.15,3.8,3.1
2026-04-12,11.0,93.0,14.2,100.0,6.6,0.91,9.0,9.9
2026-04-13,5.2,92.0,11.8,99.0,6.0,1.14,2.1,4.0
2026-04-14,4.2,70.0,10.4,44.0,0.0,23.76,0.7,-1.2
2026-04-15,3.3,93.0,8.5,97.0,6.0,1.17,0.3,2.3
2026-04-16,6.0,74.0,7.8,68.0,0.0,21.97,3.1,1.4
2026-04-17,7.9,82.0,7.7,84.0,0.3,12.34,5.6,5.0
2026-04-18,14.0,94.0,16.1,100.0,5.1,6.08,12.7,13.0
2026-04-19,,,,,,,,
