Date,Day of the week,Total Residential Consumption,Total CI Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2023-01-01,1,16830137.6,2971244,1.7,88,8.6,96,1.1,2.46,-1.7,-0.1
2023-01-02,2,16449402.1,3175118.3,0.7,88,8,88,0.4,4.02,-2.7,-1.1
2023-01-03,3,16267284.3,3499136.8,-0.5,90,5.7,99,0,2.68,-3.8,-2
2023-01-04,4,16480418.8,3575265.6,1,86,10.8,100,13.8,1.57,-2.8,-1
2023-01-05,5,16961464.1,3660340.4,-1.5,90,9.7,100,8.1,1.82,-5.5,-2.9
2023-01-06,6,16622833,3618895,0,93,5.7,99,3.8,1.9,-3.1,-1
2023-01-07,7,18332965.9,3512956.1,-6.7,78,11.2,44,0,6.36,-11.6,-9.9
2023-01-08,1,19752932.1,3538713.5,-8.9,77,8.2,49,0,7.28,-13.5,-12.4
2023-01-09,2,17826512.4,3804110.8,-2.8,83,12.7,97,1,1.96,-7.5,-5.3
2023-01-10,3,18027658,3937194.6,-9,72,9.3,53,0,5.97,-13.8,-13.1
2023-01-11,4,19139424.2,4102315.6,-11.3,75,10,98,0.1,6.87,-16.3,-14.9
2023-01-12,5,18149992.5,3965681.3,-3.8,88,14.1,100,10.3,0.95,-8.7,-5.5
2023-01-13,6,18204046.2,3863091,-3.5,81,16.5,98,16.5,1.44,-8.8,-6.4
2023-01-14,7,19711249.9,3757081.2,-11,74,9.9,6,0,7.98,-16,-14.8
2023-01-15,1,20717559.8,3723395.3,-12.2,71,6.9,0,0,8.23,-16.9,-16.7
2023-01-16,2,18921485.3,4010612.1,-10.6,70,7,4,0,8.38,-15.2,-15.2
2023-01-17,3,18260385.5,3949632.4,-7.9,78,3.9,84,2.7,3.88,-11.8,-11.2
2023-01-18,4,16883733.4,3792779.3,-1.1,84,7.9,70,0.9,3.05,-4.9,-3.6
2023-01-19,5,17413705.8,3852624.4,-3.4,82,13.6,91,6.8,3.84,-8.2,-6
2023-01-20,6,17334388.8,3808458,-2.3,85,11.4,95,4.8,1.68,-6.7,-4.5
2023-01-21,7,17956487.3,3517852.3,-4.4,82,7.1,94,0,7.29,-8.4,-7
2023-01-22,1,18192216.4,3374450.3,-2.3,91,6.6,100,3.2,2.61,-5.8,-3.6
2023-01-23,2,16839838.3,3705184,-2,84,9.1,92,0,6.02,-6,-4.4
