date,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2026-04-06,1.8,74,10.1,85,0.6,12.22,-2.1,-2.5
2026-04-07,-3.0,72,19.7,87,1.9,20.76,-8.7,-7.5
2026-04-08,0.1,58,9.4,44,0.0,21.79,-4.0,-7.8
2026-04-09,9.9,61,15.8,91,4.7,15.61,6.1,2.5
2026-04-10,11.4,73,16.1,85,5.0,13.4,8.3,6.4
2026-04-11,6.6,56,8.8,10,0.0,24.2,3.2,-2.5
2026-04-12,10.2,63,13.2,90,0.0,6.45,7.0,3.5
2026-04-13,17.7,80,21.0,99,4.8,8.2,16.0,14.1
2026-04-14,12.8,76,13.4,89,0.0,12.17,10.5,8.6
2026-04-15,6.8,91,14.1,100,15.3,1.46,3.7,5.5
2026-04-16,6.4,74,7.6,100,0.6,9.62,3.5,2.0
2026-04-17,7.5,74,9.8,100,2.4,14.55,4.5,2.9
2026-04-18,12.3,92,11.7,100,5.4,4.14,10.9,11.0
2026-04-19,8.8,76,10.8,80,0.0,8.54,6.0,4.5
2026-04-20,6.7,46,10.4,30,0.0,25.59,2.7,-5.4
2026-04-21,7.6,55,10.6,98,0.0,11.38,3.8,-1.1
