Date,Day of the week,Daily CI Total Consumption,Daily Residential Total Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m?),apparent_temperature_mean (ÁC),dew_point_2m_mean (ÁC)
2020-01-01,4,1160123.6,14469838.9,-1,67,18.6,71,0.2,3.35,-6.7,-6.4
2020-01-02,5,1325378.5,13271315,3.6,69,19.9,68,0,7.03,-1.6,-1.6
2020-01-03,6,1321118,12769748.3,4.3,84,11,90,0,4.29,0.9,1.7
2020-01-04,7,1304791.1,14048898.5,0.8,75,9.6,95,1.8,3.05,-3.1,-3.1
2020-01-05,1,1261331,14873324.6,-0.3,72,12.5,93,3.2,3.75,-4.9,-4.8
2020-01-06,2,1369676.5,13573581.5,0.7,72,21.4,68,1.4,6.07,-5,-3.9
2020-01-07,3,1391423.2,13476734,-0.2,73,12.6,86,0,5.49,-4.8,-4.6
2020-01-08,4,1448891.8,14072396.7,-4,60,20.1,61,0.7,6.02,-10.2,-10.8
2020-01-09,5,1507266,14820167,-5.7,59,14.6,67,0.1,4.36,-11.2,-12.5
2020-01-10,6,1409691.3,13287809.9,4.4,85,15.9,100,0.8,1.14,0.3,1.8
2020-01-11,7,1310992.4,14109437.7,5.5,94,18,100,45.9,0.73,1.6,4.6
2020-01-12,1,1308397.9,15449868.1,-2.5,72,17.5,85,15,6.51,-7.9,-7
2020-01-13,2,1415772,14147278.4,-1.4,84,8,93,0.7,3.06,-5.1,-3.7
2020-01-14,3,1416114.1,13642888.2,0.4,90,13,62,0,6.47,-3.7,-1.1
2020-01-15,4,1389021,13145185,1.8,82,10.5,95,0,3.91,-2,-1
2020-01-16,5,1434994.8,13547389.8,-1.6,75,20.1,59,1,7.46,-7.3,-5.5
2020-01-17,6,1530954.4,15145044.8,-10.4,52,9.1,79,0,9.17,-15.5,-18.4
2020-01-18,7,1450023.3,16542462.9,-3.2,78,21.2,100,16.8,0.99,-9.2,-6.7
2020-01-19,1,1364033.3,16118711.8,-4.4,73,20.7,72,0,6.87,-10.5,-8.5
2020-01-20,2,1492328.6,15282302.3,-10.7,67,11.3,9,0,9.72,-16,-15.7
2020-01-21,3,1512784.6,14995587.8,-6,75,14.4,66,0,7.29,-11.3,-9.8
2020-01-22,4,1483680,14384018.4,-4,78,17.8,76,0,8.9,-9.6,-7.2
2020-01-23,5,1451053.5,13805591.6,-2.8,79,7.1,99,0,6.81,-6.7,-6
2020-01-24,6,1430100.8,13496072.9,0.3,83,19.8,93,8.3,4.9,-5.1,-2.4
