date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-04-06,4287864.885140023,545026.3082790729,1.9,10.3
2026-04-07,3908391.592856927,656352.9685098969,-3.2,21.3
2026-04-08,3731801.4042037223,657088.6868770847,-0.8,10.7
2026-04-09,3346525.4012091113,605583.7979295966,8.0,22.9
2026-04-10,3250887.422868455,593825.1696785176,9.8,15.4
2026-04-11,3506096.671228274,618304.5470923798,5.5,8.2
2026-04-12,3780798.567325152,535545.84337858,10.4,19.0
2026-04-13,3102719.2041229093,470224.8697047293,15.6,30.0
2026-04-14,3341596.5795305306,570759.6524978578,10.0,24.6
2026-04-15,3646858.636982641,649118.7841572505,0.7,21.0
2026-04-16,3685381.5641440554,656841.0736748397,0.1,21.1
2026-04-17,3585604.00649116,643405.0518108011,2.1,11.5
2026-04-18,3484160.8030441613,614086.5131685056,6.1,6.5
2026-04-19,3762480.801623802,527971.0238512943,11.3,9.4
2026-04-20,3949836.2987483316,493698.2371499163,9.8,11.7
2026-04-21,3436991.742100112,582914.1898271015,8.0,19.5
