date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-04-01,4065032.8184917397,951082.3564068147,5.5,14.5
2026-04-02,4322656.667120016,996630.1211384855,2.9,21.1
2026-04-03,3598917.312120683,877238.6097776808,12.7,21.2
2026-04-04,4150069.3388380893,961380.2332930716,5.0,18.5
2026-04-05,4374098.736859743,876033.3422027875,6.6,24.4
2026-04-06,4599367.464172762,858881.4263034757,3.7,17.9
2026-04-07,4552299.243706367,999889.6962467637,0.1,16.9
2026-04-08,4346889.702751452,999218.395052192,1.3,11.4
2026-04-09,3957387.4281063825,927329.9405652988,6.5,10.9
2026-04-10,3610736.7277958496,877665.821385276,12.1,17.8
2026-04-11,3839079.725097904,906263.6750572625,9.1,17.8
2026-04-12,4434567.347836316,882985.4335096192,4.8,16.8
2026-04-13,4209497.456733753,788508.7280349429,8.5,14.4
2026-04-14,3555563.2776675425,762232.7846193226,14.4,23.6
2026-04-15,4165350.445070705,971574.2601887255,4.9,20.3
2026-04-16,4423113.932631753,1013399.4565032246,1.3,19.2
