date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-04-01,1719077.6792063832,720203.1231010653,3.3,15.3
2026-04-02,1720078.9109959083,723436.9947981504,3.9,19.3
2026-04-03,1480735.6716606123,650622.8544639526,13.4,25.0
2026-04-04,1595132.6349562844,673757.3055410291,9.4,23.6
2026-04-05,1845485.8569005781,640830.3909306895,4.8,29.2
2026-04-06,1950458.7070308693,625436.0130200349,1.7,18.4
2026-04-07,1886288.4407490406,747544.8473128369,-1.2,19.9
2026-04-08,1818268.784036704,752627.2026034791,-0.6,13.8
2026-04-09,1647832.874724751,699327.7900617335,6.0,14.6
2026-04-10,1467923.2096507363,646298.992343211,13.7,23.6
2026-04-11,1587585.084732823,670693.0783991568,8.8,16.7
2026-04-12,1742241.2121901445,605909.902091369,7.1,17.0
2026-04-13,1718829.8554891502,549515.5024952728,10.5,19.5
2026-04-14,1492137.9354114989,618638.2467584714,14.2,25.1
2026-04-15,1781111.9799038668,741505.8913751618,2.4,26.4
2026-04-16,1793889.01216777,747565.7834179206,1.0,18.2
