date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-04-06,2956609.99378404,429427.2966017733,2.1,9.6
2026-04-07,2938826.120098634,582187.0561082984,-2.6,21.1
2026-04-08,2726817.1535387198,576101.0599255052,0.6,8.7
2026-04-09,2355425.4527693456,525377.0197474945,10.7,18.3
2026-04-10,2268860.2793406327,517988.45860322483,12.3,17.5
2026-04-11,2485245.7344748736,531741.5720801891,7.0,7.5
2026-04-12,2521285.6850341624,417139.3350267947,11.4,14.6
2026-04-13,2779660.725591962,370477.51281382405,18.1,23.4
2026-04-14,2248205.4101457368,482910.1689773148,13.9,12.5
2026-04-15,2518788.701175363,549576.7012344946,6.2,17.3
2026-04-16,2513689.433906029,544270.436554647,6.2,7.5
2026-04-17,2463545.481705851,542493.8941174143,7.0,8.4
2026-04-18,2263133.869032962,502460.42799721484,12.8,13.5
2026-04-19,2595058.4099794156,426470.0510358616,9.4,11.3
2026-04-20,2752326.662068599,400165.3712734093,7.0,7.4
2026-04-21,2498888.331255474,517278.2355865921,7.6,10.1
