date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-04-06,17413352.72085925,3185732.609092283,1.2,14.1
2026-04-07,18126545.85165088,3746325.542609187,-3.7,15.6
2026-04-08,16666211.069867881,3667076.845654505,-1.1,9.6
2026-04-09,14629574.289764397,3332269.4561249358,6.3,19.6
2026-04-10,14325651.311972791,3322880.737166925,6.4,10.1
2026-04-11,14780012.738478499,3354625.638758834,5.2,10.4
2026-04-12,15170038.681752043,3005151.8701752275,7.1,14.1
2026-04-13,13412473.263700375,2548530.7303344603,13.5,15.1
2026-04-14,14008223.394630508,3082041.807760587,9.5,20.6
2026-04-15,16057052.239996316,3563417.798565953,1.2,12.9
2026-04-16,15631051.792236347,3504533.8131805346,2.4,13.3
2026-04-17,15039128.892649982,3439723.476666219,4.0,8.4
2026-04-18,14366744.682701217,3297674.398775048,5.9,6.3
2026-04-19,13735526.948482543,2784613.4727186924,11.0,10.7
2026-04-20,14770823.837613879,2773013.8810790847,8.8,10.9
2026-04-21,14401456.713181611,3160075.3994484656,7.3,13.2
