date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-04-01,13351054.72810242,4710913.156938757,3.1,18.2
2026-04-02,13694152.474697359,4805652.872110896,1.7,18.3
2026-04-03,11355056.522549847,4273179.202047387,11.5,19.9
2026-04-04,13051937.275317982,4647778.825079892,4.3,15.1
2026-04-05,13454533.812276019,4252429.615769168,6.0,20.9
2026-04-06,14486176.142980788,4139902.630148539,2.7,16.6
2026-04-07,14496659.386918051,4783839.090529501,-0.8,16.7
2026-04-08,13933281.162139181,4848312.66934912,0.1,11.4
2026-04-09,12812712.009286623,4578152.00177919,4.3,6.1
2026-04-10,11146072.376090849,4217067.615219884,11.9,14.5
2026-04-11,11915814.315314876,4368082.026161612,9.0,15.0
2026-04-12,13224210.135477995,4187167.2650621845,6.1,11.0
2026-04-13,13052886.096265888,3782738.193622106,8.2,11.5
2026-04-14,10854983.377410563,3901006.604834848,14.5,19.1
2026-04-15,13332821.44951183,4708678.48659599,3.4,20.8
2026-04-16,13719340.296264168,4805873.4914096985,1.0,11.4
