date,forecast_residential_load,forecast_ci_load,temperature,wind_speed,city
2026-04-01,15431219.536599005,3454791.1989986002,3.7,17.3,Ottawa
2026-04-02,16131507.402318157,3564987.0522358464,2.1,22.3,Ottawa
2026-04-03,13171473.96924995,3124267.3007241865,10.9,17.4,Ottawa
2026-04-04,15458313.280202765,3442676.709858864,4.4,19.7,Ottawa
2026-04-05,15752491.69053651,3076300.4490432935,6.7,24.2,Ottawa
2026-04-06,16783055.74704134,3076608.339005333,3.7,18.4,Ottawa
2026-04-07,16937568.99151401,3553159.0237305015,0.2,17.7,Ottawa
2026-04-08,16366458.867943326,3611899.4869994125,0.3,13.2,Ottawa
2026-04-09,14793031.962757904,3378470.4399929326,4.5,10.0,Ottawa
2026-04-10,13318069.007948263,3148381.439131724,10.4,17.0,Ottawa
2026-04-11,13784640.037559122,3184596.2226828365,9.0,16.1,Ottawa
2026-04-12,15706854.538943395,3091419.907229392,5.4,13.6,Ottawa
2026-04-13,15477281.97078778,2878193.3978779456,7.1,14.2,Ottawa
2026-04-14,12822527.596757608,2892349.829801911,13.2,21.3,Ottawa
2026-04-15,15255283.698294435,3416525.4852926433,4.9,22.2,Ottawa
2026-04-16,16183626.877002738,3586341.120992668,1.1,16.1,Ottawa
