date,forecast_residential_load,forecast_ci_load,temperature,wind_speed,city
2026-04-01,13187538.626462996,4669890.580066013,3.7,17.3,Toronto
2026-04-02,13680949.593469094,4805869.223014505,2.1,22.3,Toronto
2026-04-03,11447758.12399943,4293827.843996111,10.9,17.4,Toronto
2026-04-04,13123616.614035452,4669405.31449005,4.4,19.7,Toronto
2026-04-05,13354365.931684675,4230636.5947861085,6.7,24.2,Toronto
2026-04-06,14282381.027687578,4091306.3702378664,3.7,18.4,Toronto
2026-04-07,14276202.036286054,4730448.963577883,0.2,17.7,Toronto
2026-04-08,13922514.162690353,4847222.378040688,0.3,13.2,Toronto
2026-04-09,12845683.377602108,4589645.611453241,4.5,10.0,Toronto
2026-04-10,11560069.578732777,4321122.14085204,10.4,17.0,Toronto
2026-04-11,11938724.888905708,4374673.593342912,9.0,16.1,Toronto
2026-04-12,13447262.001692886,4244315.055472218,5.4,13.6,Toronto
2026-04-13,13374534.799820319,3864238.2017133785,7.1,14.2,Toronto
2026-04-14,11214475.212839346,3980049.375475731,13.2,21.3,Toronto
2026-04-15,13000052.644146485,4627994.062788445,4.9,22.2,Toronto
2026-04-16,13793102.414398987,4828099.214199975,1.1,16.1,Toronto
