Date,Day of the week,Total Residential Consumption,Total CI Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2023-01-01,1,4269901,557109.7,2.2,92,8,100,1.7,1.51,-0.9,1
2023-01-02,2,4016325.6,609968.9,2.6,85,7,91,0,7.03,-0.4,0.3
2023-01-03,3,3875746.7,702444.9,1.7,94,8.6,100,6.4,1.67,-1.5,0.8
2023-01-04,4,3877732.9,711731.4,2.2,97,8.6,100,17.7,1.17,-0.9,1.8
2023-01-05,5,3811489.2,711839.6,2.5,88,10.2,99,0.5,2.45,-1,0.7
2023-01-06,6,3850996.1,713854.9,1.8,82,12.2,95,0,2.73,-2.3,-1.1
2023-01-07,7,4373906.9,659647.9,-0.8,76,9.9,71,0.3,5.19,-5,-4.7
2023-01-08,1,4726016.5,628801.6,-4.6,71,6.3,65,0,5.53,-8.7,-9
2023-01-09,2,4014941.8,727803.4,-1.2,77,14.7,76,0,5.43,-6.1,-4.7
2023-01-10,3,3887487.2,728895,-1.2,75,7.1,92,0.1,3.67,-5,-5.1
2023-01-11,4,4007029.8,747912.7,-2.6,86,14.1,95,0.4,2.39,-7.4,-4.6
2023-01-12,5,3858725.8,731470.5,0.8,95,10.9,100,6,1.71,-2.9,0.2
2023-01-13,6,4108604.1,753764.8,-3.9,77,22.2,90,2.3,2.47,-10.1,-7.3
2023-01-14,7,4707220.7,705263.7,-8.8,72,12.4,45,0,8.62,-14.1,-13.1
2023-01-15,1,4817579.4,643171.8,-7.5,77,7.1,31,0,8.77,-11.8,-11.2
2023-01-16,2,3948723.5,727142.1,-3.4,87,7.5,84,0,7.5,-7.3,-5.2
2023-01-17,3,3846718.4,724683.4,1,92,8.2,100,3,1.71,-2.3,-0.1
2023-01-18,4,3760634.7,724443.2,2.7,87,13.1,99,0,3.63,-1.2,0.8
2023-01-19,5,3869484.3,738158.7,0.4,95,15.1,100,4.4,0.99,-4,-0.4
2023-01-20,6,3855498.4,735146,0.8,81,12.1,100,0.2,3.56,-3.4,-2.4
2023-01-21,7,4489788,681715.9,-1,70,8.4,100,0,3.69,-5.1,-5.8
2023-01-22,1,4623925.1,621831.1,-1,85,7,94,4,1.97,-4.6,-3.3
2023-01-23,2,3952323.1,721771.1,-0.9,77,14.3,92,0,4,-5.7,-4.7
2023-01-24,3,3871235.5,733125.1,-0.4,66,18.2,97,0.1,5.21,-6,-6.3
2023-01-25,4,4024325.5,717577.1,-1,91,15,100,19.5,1.63,-5.7,-2.3
2023-01-26,5,3950552.8,726917.3,-2.3,81,15.3,99,3.3,6.39,-7.3,-5.1
2023-01-27,6,3944902.8,739678.2,-2.6,82,16.4,93,0.8,6.61,-7.8,-5.4
2023-01-28,7,4444157.9,677322.9,-1.2,74,15.7,94,0.7,6.6,-6.3,-5.4
2023-01-29,1,4727737,625526.4,-3.5,87,10.2,74,7.1,2.87,-7.8,-5.4
2023-01-30,2,4104927.8,742204.4,-7.8,79,8.8,84,0.2,5.32,-12.4,-11
2023-01-31,3,4081949.6,758671.6,-10,72,11.4,51,0,10.34,-15.2,-14.3
2023-02-01,4,4215683.1,774734.6,-10.5,76,15.4,56,0,7.7,-16.2,-14
2023-02-02,5,4098143.4,764263.3,-6.2,69,19.8,55,0.8,10.44,-12.4,-11
2023-02-03,6,4567720.5,809180.9,-17,61,19.4,45,0,11.51,-23.8,-22.8
2023-02-04,7,5160658.9,748906.4,-14,71,13,90,0.4,7.43,-19.5,-18.3
2023-02-05,1,4731518.9,641328.4,1,73,13,95,0,7.29,-3.5,-3.4
2023-02-06,2,3919171.9,732702.1,-2.8,79,9.4,58,0,11.58,-7.1,-6
2023-02-07,3,3829684.4,729152.1,0.6,82,16.3,82,0.4,6.98,-4.2,-2.3
2023-02-08,4,3656918,715540,1.7,80,10.7,61,0,11.91,-2.3,-1.7
2023-02-09,5,3845719.9,729785.4,1.1,93,10.4,100,23.8,1.23,-2.4,0.2
2023-02-10,6,3879216.1,735454.5,1.4,73,23.8,96,0.2,5.68,-4.6,-3
2023-02-11,7,4455677.5,678447.3,-2.2,67,16.3,24,0,11.38,-7.7,-7.6
2023-02-12,1,4437399.3,606361,1.2,66,10.2,0,0,12.53,-3.1,-4.7
2023-02-13,2,3719850.7,699658.9,1.3,71,14.4,26,0,12.26,-3.4,-3.9
2023-02-14,3,3554592.5,696473,2.5,68,11.6,32,0,12.9,-1.8,-3.3
2023-02-15,4,3568226.1,691913.7,8.5,64,23.3,72,0.3,6.51,3.3,1.9
2023-02-16,5,3709468.7,714843.3,1.2,76,10.9,88,3.1,7.22,-2.9,-2.8
2023-02-17,6,4041933.3,743879.4,-4.9,66,19,58,7.6,13.29,-10.9,-10.7
2023-02-18,7,4551329.3,686279.4,-2.1,58,16.3,48,0,13.45,-7.7,-9.8
2023-02-19,1,4293849.9,612909,3.3,62,16.4,86,0,9.94,-1.7,-3.7
2023-02-20,2,4095998.3,586512.4,1.8,63,12.6,91,0,11.74,-2.8,-4.9
2023-02-21,3,3842693,725046.4,-0.2,69,15.5,79,1.5,11.93,-5.3,-5.7
2023-02-22,4,4032503.4,742457.6,-3.9,77,14.8,99,18.4,2.5,-9,-7.4
2023-02-23,5,4181502.9,744374.9,-5.7,84,12.1,100,7,3.44,-10.5,-8
2023-02-24,6,4045242.9,762757.1,-9,68,15.4,34,0,15.32,-14.7,-14.1
2023-02-25,7,4602646.1,695725.2,-9,79,6.2,90,1.7,8.45,-13.3,-12.1
2023-02-26,1,4583031.6,627128.1,-2.4,73,16.3,37,0,14.03,-7.8,-6.9
2023-02-27,2,4090638.8,732972.5,-5.8,84,16.8,81,12.4,7.94,-11.3,-8.2
2023-02-28,3,3874790.1,728687.7,-0.1,83,15,83,2.8,9.32,-4.8,-2.8
2023-03-01,4,3840422.6,729874.1,-1.8,85,9.8,77,0.6,8.45,-6,-4.1
2023-03-02,5,3712243.6,721211.3,-1.6,79,9.2,60,0,12.26,-5.7,-4.9
2023-03-03,6,3998233.2,732100.8,-2.7,89,17.8,84,21.2,6.41,-8,-4.3
2023-03-04,7,4403222.4,634700,1.5,79,17.1,78,13,14.02,-3.4,-2
2023-03-05,1,4414474.4,604178,1.8,78,13,54,0.7,13.9,-2.4,-1.9
2023-03-06,2,3823704.4,711443,-1.4,80,7.9,95,0.7,7.66,-5.3,-4.5
2023-03-07,3,3774776.7,724051.1,-1.7,57,22.4,33,0.3,17.93,-8,-9.2
2023-03-08,4,3792810.2,728210.9,-2.5,67,17.4,3,0,17.67,-7.9,-7.8
2023-03-09,5,3744516.7,724480,-1.9,76,12.6,41,0,17.59,-6.5,-5.7
2023-03-10,6,3998729.9,729510.8,-2.4,85,16.1,100,9.6,4.51,-7.4,-4.5
2023-03-11,7,4401483.5,669050.8,-3,76,12.2,82,0.3,13.33,-7.7,-6.8
2023-03-12,1,4630606.4,625955.2,-4.4,84,6.7,99,2.5,5.91,-8.3,-6.6
2023-03-13,2,3891546.6,713483.1,-1.4,82,8.5,100,1.7,8.01,-5.3,-4.2
2023-03-14,3,3918728.9,737920.7,-4.3,73,21.8,76,0,13.41,-10.6,-8.6
2023-03-15,4,3796156.4,724017.1,-1.8,59,13.8,17,0,19.78,-6.9,-9.5
2023-03-16,5,3563390.7,697416.1,3.5,60,13,88,2,14.52,-1.1,-3.9
2023-03-17,6,3736681.7,705816.6,4,81,17.1,94,9.7,5.49,-0.4,1
2023-03-18,7,4410077,665668.3,-3.5,64,20.1,70,0.5,16.92,-9.5,-9.6
2023-03-19,1,4680753.7,627631.3,-4.2,62,21.5,61,0.5,14.07,-10.6,-10.6
2023-03-20,2,3760396.8,702278.4,0.8,57,17.6,50,0,19.4,-4.6,-7
2023-03-21,3,3486370,680961.4,3.7,67,9,74,0.3,16.71,0.1,-2.1
2023-03-22,4,3641879.8,692955.8,3,85,9.4,100,0,7.74,-0.4,0.6
2023-03-23,5,3601004.8,692896.4,4.8,80,13.7,89,4.2,4.9,1,1.4
2023-03-24,6,3661268.7,700666.9,0.7,67,8.4,100,0,17.34,-3.2,-5.1
2023-03-25,7,4421541.8,652550.8,2.5,84,23.8,97,16,3.57,-3.1,0
2023-03-26,1,4308168.3,581089,3.7,61,18.2,42,0,21.34,-1.4,-3.9
2023-03-27,2,3750118.7,689119.5,1.1,83,7.9,87,5.2,6.06,-2.4,-1.6
2023-03-28,3,3528819.1,681914.3,3.1,71,8.8,78,0.1,14.5,-0.7,-2.4
2023-03-29,4,3715518,701051.4,0.3,60,19.9,43,3,13.5,-5.5,-6.7
2023-03-30,5,3713763.4,712645.9,-0.9,49,9.3,52,0,21.2,-5.3,-11.3
2023-03-31,6,3815363.1,710722.4,1.7,89,6.6,100,11,3.48,-1.3,0
2023-04-01,7,4143492.1,626873.5,7.3,70,21.4,70,14.4,15.91,2.5,1.6
2023-04-02,1,4407279.3,588156,-1,47,10.5,47,0,22.83,-5.6,-11
2023-04-03,2,3563306.2,668959.4,6.6,54,13.9,96,0.1,16.11,2.3,-2.5
2023-04-04,3,3414425.5,666093.8,7,83,10.1,96,5.3,10.41,4.2,4.1
2023-04-05,4,3579449.4,683923.3,8.9,87,15.8,100,11.5,6.59,6,6.7
2023-04-06,5,3387598.3,673295,8.5,56,19.8,91,0,18.31,3.7,-0.5
2023-04-07,6,3902667,575837.8,1.8,48,15.5,10,0,22.89,-3.4,-8.5
2023-04-08,7,4037781.4,610395.2,0.6,57,7.6,43,0,21.68,-3.3,-7.3
2023-04-09,1,4055460.2,538141.9,3.5,65,8.6,3,0,23.93,0.1,-3
2023-04-10,2,3403526.3,634979.4,10.4,51,13.7,46,0,22.95,6.5,0.1
2023-04-11,3,3174654.5,647196.6,14.9,43,21.9,100,0.3,19.05,10.1,2.4
2023-04-12,4,3258716,673775.7,18,52,18.3,20,1.2,23.15,15,7.7
2023-04-13,5,3709428.6,706475,20.3,48,16.3,16,0,23.66,17.8,8.6
2023-04-14,6,4041595.3,717834.6,19.6,47,10.8,41,0,24.27,17.6,7.2
2023-04-15,7,4553879.1,643334.5,17.2,56,6.2,74,0,21.83,16,8.1
2023-04-16,1,4630390.6,580969,16.1,66,11.4,52,8.1,23.26,14.7,9.5
2023-04-17,2,3424941.6,628514.3,5.4,75,18.4,90,3.8,7.45,0.8,1.2
2023-04-18,3,3584082.8,660920.9,2.7,64,19.9,97,0.4,10.8,-2.8,-3.6
2023-04-19,4,3494764.5,667996.8,4.5,57,13,92,0,22.6,0.3,-3.6
2023-04-20,5,3365813.5,658338.3,5.6,66,12.2,93,0.4,20.48,1.8,-0.5
2023-04-21,6,3267264,649258.3,10.6,76,9.8,100,10.4,17.25,8.6,6.3
2023-04-22,7,3927344.6,586934,8,88,10.9,96,15.1,5.96,5.5,6
2023-04-23,1,4147453.4,540412.5,5.5,70,12,72,0.5,14.78,1.7,-0.2
2023-04-24,2,3473442.8,644564.3,3.7,69,10.2,64,0.5,17.88,0,-2
2023-04-25,3,3380217.3,649329.2,4.9,64,12,63,1.7,19.52,0.8,-2
2023-04-26,4,3396600.4,651809.7,4.6,72,7.4,55,1,18.87,1.4,-0.6
2023-04-27,5,3298745.3,652633.1,5.6,67,7.8,49,0,23.78,2.5,-0.5
2023-04-28,6,3378584.3,649785.2,7.9,82,12.3,96,15.2,11.64,5,5
2023-04-29,7,4035437.3,597333.1,7.7,95,14.6,94,3.4,3.85,4.8,6.9
2023-04-30,1,4165393.2,540334.3,8.7,92,10.3,93,12.3,5.11,6.6,7.5
2023-05-01,2,3455755.2,639025.6,6.8,73,15,79,2.2,18.83,2.8,2
2023-05-02,3,3494904.6,653621.9,4.1,87,9.7,100,7.8,8.64,0.9,2
2023-05-03,4,3487486.6,661046.8,5.7,89,13,99,8,8.92,2.5,4
2023-05-04,5,3355412.1,650813,8.1,85,6.3,94,3.2,13.56,6.1,5.6
2023-05-05,6,3300523.8,647504.1,9.4,78,6.3,72,0.2,16.36,7.4,5.5
2023-05-06,7,3785562.7,588176.7,11.4,62,5.7,75,0,25.52,9.5,3.8
2023-05-07,1,3989835.1,527884.2,11.1,72,6.4,100,8.6,8.09,9.2,5.8
2023-05-08,2,3276238.3,632622.5,12.9,56,13.3,86,0,26.99,9.9,2.9
2023-05-09,3,3189749.2,635708,11.5,45,10.5,54,0,27,8.3,-0.4
2023-05-10,4,3252223.4,655345.3,13.8,51,6.9,38,0,26.67,11.7,3.3
2023-05-11,5,3533519.4,686126.2,18.5,44,12,46,0,21.75,15.9,5.8
2023-05-12,6,4119991.5,718094.5,20.1,49,10.7,96,0,23.13,18.5,8.7
2023-05-13,7,4511943.8,627742.5,16.5,50,13.7,89,0,26.08,13.8,5.3
2023-05-14,1,3959155.8,533402.8,12.1,46,13.7,85,0,25.68,8.4,0.5
2023-05-15,2,3365892.5,644892.5,14.5,34,13.3,10,0,29.65,10.7,-1.7
2023-05-16,3,3260976.3,643065.4,15.2,46,21.5,26,0,26.78,10.9,3.1
2023-05-17,4,3250314.8,630013.2,5.8,52,13.2,8,0,29.36,1.8,-3.8
2023-05-18,5,3242191.5,634080.6,7.6,53,8.4,46,0,29.68,4.5,-1.8
2023-05-19,6,3289687.7,656496.5,15.9,60,10.7,94,2.3,23.73,14.2,7.5
2023-05-20,7,3784966.6,569521.3,14,79,14,80,20.9,16.31,12.2,10
2023-05-21,1,3802129.4,539906.8,16.2,58,16.8,4,0,27.76,13.4,7.2
2023-05-22,2,3727598.3,503715.4,12.9,58,9.6,5,0,28.89,10.7,4.4
2023-05-23,3,3338310,647823.5,14.3,63,8,21,0,26.24,13,7
2023-05-24,4,3263958.8,632207.6,12.5,64,17.1,30,0.6,21.99,9.3,5.5
2023-05-25,5,3203657.9,637417.5,10,56,12.3,0,0,30.36,6.8,1.1
2023-05-26,6,3337473,658617.3,13.6,45,8.9,2,0,30.39,11,1.3
2023-05-27,7,4154418.4,619751.2,15.5,49,6.3,10,0,29.75,13.8,4
2023-05-28,1,4948531.8,584199,18.7,36,8.5,19,0,29.73,16.4,2.7
2023-05-29,2,4651320.3,703715.5,18.7,46,11.2,4,0,29.5,16.8,6.4
2023-05-30,3,5141468.5,738249,19.7,55,7.8,7,0,28.66,19.2,10.2
2023-05-31,4,6168552.7,787794.9,22.6,55,7.8,15,0,26.31,22.4,12
2023-06-01,5,6746743.2,810052.1,23.7,50,8.7,47,0,24.52,23.4,11.9
2023-06-02,6,7093261,823890.5,24.5,48,13.8,75,0,25.32,23.6,12.4
2023-06-03,7,6148728.2,675371.3,19.9,62,13.1,2,0,29.64,19.1,12.1
2023-06-04,1,4943261.6,570728.7,17.1,43,8.4,20,0,30.66,15,3.8
2023-06-05,2,4315151,689300.2,19,50,9.6,52,0,23.18,17.2,7.8
2023-06-06,3,4206681.3,680071.7,18,47,18,21,0,30.28,14.8,5.8
2023-06-07,4,3623338.7,653472.5,16,40,15.5,20,0,30.81,12.4,1.7
2023-06-08,5,3377256.8,637368.5,14.4,67,10.8,76,1.1,12.9,12.4,8.3
2023-06-09,6,3376469.7,640238.8,15.3,67,11.6,75,5.3,16.16,13.4,8.8
2023-06-10,7,4609511.7,623868.4,19.8,44,11.5,67,0,22.07,17.4,6.6
2023-06-11,1,4742732.4,555397,17.4,75,8.1,99,9.9,10.54,17.1,12.7
2023-06-12,2,3586831.8,626153.6,15.3,90,12.8,100,53.9,6.07,14.6,13.5
2023-06-13,3,3345352.6,627537.1,14.2,71,12.6,60,0.8,20.56,12.2,8.6
2023-06-14,4,3445049.5,643289.1,14.9,79,10.5,55,3.1,22.18,13.8,10.8
2023-06-15,5,3405206.7,649532.4,15.8,79,9.8,78,8.9,13.7,15,11.8
2023-06-16,6,3758154.1,672742.9,16.8,76,14.8,58,3.1,22.16,15.5,12.4
2023-06-17,7,4686063.8,627595.8,18.2,51,13.8,10,0,30.21,15.8,6.8
2023-06-18,1,5316291.6,589672.1,18.9,52,7.6,14,0,28.72,17.9,8.2
2023-06-19,2,5014071.1,712210.8,18.6,68,10.4,57,0,29.03,18.2,12.2
2023-06-20,3,5303895.4,733414.7,20,63,13,25,0,29.88,19.3,12.4
2023-06-21,4,5648323.2,758315.6,20.3,63,11,3,0.1,29.04,20.1,12.9
2023-06-22,5,5394552,746219.9,19.5,64,9.8,56,1.4,25.68,19,12
2023-06-23,6,4952488.7,732589.9,19.6,86,6.9,99,10.1,14.9,21.2,17.1
2023-06-24,7,5667343.8,667037,20.7,87,6.5,87,21.6,17.32,22.9,18.4
2023-06-25,1,7129373.7,654068.9,21.5,80,9,83,0.8,25.31,23.2,17.6
2023-06-26,2,5434062.9,720153.1,20.1,87,11.3,94,10.5,17.51,21.3,17.7
2023-06-27,3,4789920.6,707473.2,19.1,86,10.5,95,22.5,15.8,19.9,16.6
2023-06-28,4,4368122.5,684310.9,18.4,65,15.1,49,0,24.9,16.9,11.3
2023-06-29,5,4805857.6,721685.9,18.8,62,7.6,33,0,29.33,18.5,10.9
2023-06-30,6,5687753.4,753579.4,21.2,80,8.5,68,0.8,23.77,22.9,17.5
2023-07-01,7,7094284.4,661326.9,23.7,78,7.2,90,2.3,23.53,26.2,18.7
2023-07-02,1,6043316.6,609512,21.2,90,6.1,100,3.7,11.49,23.9,19.5
2023-07-03,2,6417051,652279.4,22,83,7.1,61,4.4,24,24.5,18.6
2023-07-04,3,7169276.8,813295.9,23.8,72,6,38,0.4,25.86,26.1,17.9
2023-07-05,4,8115982.3,869356.7,24.4,71,8.4,28,1,25.97,26.5,18.3
2023-07-06,5,6760837,811093.2,23,82,8.3,74,8.8,18.95,25.6,19.6
2023-07-07,6,5896687.6,761411,20.9,67,10.9,27,0,29.57,21.1,13.6
2023-07-08,7,5296366.2,647451.2,19.1,72,6.7,85,15.1,18.63,19.5,13.2
2023-07-09,1,5934883.9,605753.6,19.5,81,7.4,84,0.4,19.21,20.6,15.9
2023-07-10,2,6182745.8,760307.7,21.7,65,10.2,26,0,27.32,22,14.2
2023-07-11,3,6285872.3,781521.6,22.7,68,15.2,30,1.1,25.3,22.8,16
2023-07-12,4,5149718.5,724597.1,20,62,8,68,1.7,25.05,19.9,12
2023-07-13,5,4882346.2,716907.1,20.4,76,14.9,55,9,23.62,20.5,15.7
2023-07-14,6,5115649.2,737965.3,19.8,76,7.6,45,1,23.07,20.6,15.1
2023-07-15,7,5620399.4,661448.5,20.8,87,7,99,12.3,12.15,23,18.4
2023-07-16,1,6331238.5,620142,21.7,80,9,42,2.8,20,23.3,17.5
2023-07-17,2,5764848.9,731706.9,21.3,68,12.7,55,0.3,25.3,21.3,14.9
2023-07-18,3,5446161,728175.2,19.6,72,5.1,42,1.9,23.43,20.4,14
2023-07-19,4,5251844.1,731687.1,19.4,73,5.3,24,0.3,24.55,20.2,13.9
2023-07-20,5,5672027,762783.8,20.3,80,9.6,47,13.1,22.04,21.4,16.4
2023-07-21,6,5460335.6,745804.7,20.4,72,14.2,17,0.1,26.21,20.2,14.7
2023-07-22,7,6303018.8,689970.5,20.9,64,10.8,7,0,27.33,20.8,13.2
2023-07-23,1,6005538.9,606315.3,20,77,7,32,6.2,24.73,21.2,15.6
2023-07-24,2,5467575.1,727441.6,20.6,79,8,55,1,22.24,21.8,16.4
2023-07-25,3,5915414.4,757587.8,21.2,79,5.9,40,0.6,23.7,23.2,17.2
2023-07-26,4,6827859.3,809494.3,24.1,71,14.5,75,2.2,24.16,25.1,17.9
2023-07-27,5,6908138.7,818499.9,24,78,9.3,51,15.5,22.1,26.5,19.6
2023-07-28,6,7287595.3,840493.2,24.7,76,10.6,72,0,21.16,27.1,19.8
2023-07-29,7,5963125.3,663769.1,19.9,85,10.7,62,23.9,12.19,21,17.1
2023-07-30,1,5556201.5,591831.5,18.6,69,8.2,30,0.8,22.44,18.3,12.4
2023-07-31,2,4807190,691642.5,18.2,67,11.9,12,0.4,24.65,17.3,11.7
2023-08-01,3,4526210.5,696094.5,18.4,64,7,43,0,19.91,17.7,10.8
2023-08-02,4,4663428.4,709584.4,20,73,11,57,0.3,22.86,20.2,14.7
2023-08-03,5,6330728.8,788686.2,22.5,73,13.5,33,6.9,23.5,23.4,17.2
2023-08-04,6,5869978.5,757665,20.8,77,12.5,29,0.4,20.24,21.3,16.3
2023-08-05,7,5811774,656758.7,19.4,74,9.9,58,0,22.45,19.5,14.1
2023-08-06,1,5350175.7,589705.9,18.8,71,12.5,83,0.7,19.35,18.2,13.1
2023-08-07,2,5499272.6,599627.4,21.2,84,12.2,99,6.7,14.81,22.5,18.1
2023-08-08,3,4905177.3,701901.1,20.2,72,20,88,2.5,19.63,19,14.5
2023-08-09,4,5858133.4,760429,21.8,66,11.4,56,0.1,23.3,21.8,14.5
2023-08-10,5,5516579.3,739541.3,20.5,76,11.4,47,4.3,21.7,21,15.9
2023-08-11,6,5323466.9,734931.6,19.4,68,10.2,58,0,20.79,19,13
2023-08-12,7,6264843.5,686813.6,20.8,79,12.2,52,1.8,19.56,21.5,16.7
2023-08-13,1,6049286.9,605962.2,19.2,76,12.3,60,0.3,17.55,18.9,14.5
2023-08-14,2,5093300.9,708478.4,18.9,78,7,71,0,17.03,19.5,14.7
2023-08-15,3,4427995.9,686977,19.3,83,10.8,92,6.3,14.31,19.9,16.2
2023-08-16,4,5674954.2,749535.7,21.2,69,9.3,18,0,23.53,21.8,14.8
2023-08-17,5,5284764.8,739820.7,20.6,77,17.3,45,11.6,21.06,20.3,16
2023-08-18,6,3900814.5,653874.8,16,74,22.4,53,0,15.42,13.1,11.2
2023-08-19,7,4843345.6,626653.2,18.5,64,13.9,21,0,24.68,17.3,11.3
2023-08-20,1,6112573.5,619253.1,21.9,75,12.6,58,0,18.13,22.9,17.1
