Date,Day of the week,Total Residential Consumption,Total CI Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2023-01-01,1,2927517.5,355593.7,2.7,90,8.6,100,1.4,1.77,-0.5,1.3
2023-01-02,2,2870169.2,404464.4,2.9,87,6.5,90,0,6.94,-0.1,0.9
2023-01-03,3,2832861.6,508925.2,2.2,94,9.6,100,4.9,1.66,-1.1,1.3
2023-01-04,4,2849122.3,516639.8,2.8,96,10.3,99,21.4,1.17,-0.5,2.2
2023-01-05,5,2792913.6,518285.5,2.9,88,9.6,100,1,2.38,-0.5,1
2023-01-06,6,2826467.1,510906.8,1.9,82,11.5,94,0,3.27,-2,-1
2023-01-07,7,3050891.7,426111.3,-0.5,76,11.2,66,0.2,4.82,-4.8,-4.3
2023-01-08,1,3273183.6,409074.2,-4.3,73,6.2,68,0,5.81,-8.4,-8.5
2023-01-09,2,2931638.7,539149.9,-1,76,14,76,0,5.99,-5.7,-4.7
2023-01-10,3,2852414.5,538424,-0.7,77,7.5,92,0.1,4.14,-4.5,-4.4
2023-01-11,4,2923226.6,547565.9,-1.4,86,16.8,93,0.3,2.73,-6.5,-3.4
2023-01-12,5,2820603.3,534964.4,1.3,95,11.3,100,7.1,1.51,-2.4,0.6
2023-01-13,6,3020378.5,544600.7,-3.3,77,23.2,94,3.2,2.17,-9.6,-6.8
2023-01-14,7,3317493.7,462646.7,-9,73,13.3,29,0,8.89,-14.4,-13
2023-01-15,1,3339093.9,425226.8,-7.7,78,7.7,26,0,8.75,-12.1,-11.1
2023-01-16,2,2916615.3,540005.9,-2.5,86,7.6,82,0,7.65,-6.3,-4.6
2023-01-17,3,2831484.9,535069.5,1.4,93,7.9,100,2.4,1.88,-1.8,0.3
2023-01-18,4,2736082.4,531301,3.1,86,12.8,100,0.1,3.79,-0.7,1
2023-01-19,5,2835543.9,537260.1,1,95,17.7,100,7,1.02,-3.7,0.2
2023-01-20,6,2803716,525135.3,1.2,80,12.5,100,0.7,3.65,-3,-2
2023-01-21,7,3117894.7,438856.1,-0.6,71,7.6,97,0,3.75,-4.5,-5.2
2023-01-22,1,3163013.5,406264.9,-0.7,85,6.9,93,3.6,2.03,-4.2,-2.9
2023-01-23,2,2873839.4,534049.4,-0.5,77,14.1,92,0,4.76,-5.3,-4.3
2023-01-24,3,2834434.9,541964.7,-0.1,65,17.6,97,0.1,5.97,-5.5,-6
2023-01-25,4,2987004.6,528902,-0.5,91,16.6,100,18.8,1.65,-5.3,-1.9
2023-01-26,5,2904850.9,538152.3,-2,82,15.3,100,2.9,7.94,-7,-4.7
2023-01-27,6,2903385.7,534648.3,-2.6,82,15.3,90,0.6,7.9,-7.7,-5.4
2023-01-28,7,3075431.9,442150.1,-0.8,73,15,92,0.5,7.55,-5.8,-5.2
2023-01-29,1,3233370.1,412079.1,-3,88,9.9,73,6.5,3.25,-7.2,-4.7
2023-01-30,2,3002669.2,552183.9,-8.2,81,8.7,78,0.3,5.94,-12.8,-11.1
2023-01-31,3,3019833.5,558855.2,-9.7,71,10.4,53,0,11.08,-14.7,-14.2
2023-02-01,4,3121228.9,569260.5,-10.8,76,13.6,50,0,9.21,-16.3,-14.4
2023-02-02,5,3026004.1,561381.2,-5.8,70,18.9,53,0.5,10.87,-11.8,-10.5
